Date Time,p (mbar),T (degC),rh (%),wv (m/s),rain (mm)
25.11.2003 05:50:00,  982.58,    5.97,   93.70,    0.00,    0.00
25.11.2003 06:00:00,  982.65,    6.03,   93.90,    0.00,    0.00
25.11.2003 06:10:00,  982.58,    6.26,   93.80,    0.00,    0.00
25.11.2003 06:20:00,  982.64,    6.45,   93.10,    0.00,    0.00
25.11.2003 06:30:00,  982.69,    6.61,   92.10,    0.00,    0.00
25.11.2003 06:40:00,  982.68,    6.79,   91.70,    0.00,    0.00
25.11.2003 06:50:00,  982.70,    6.99,   90.80,    0.00,    0.00
25.11.2003 07:00:00,  982.82,    6.99,   89.60,    0.00,    0.00
25.11.2003 07:10:00,  982.84,    6.48,   90.50,    0.00,    0.00
25.11.2003 07:20:00,  982.87,    6.24,   93.10,    0.00,    0.00
25.11.2003 07:30:00,  982.95,    6.13,   93.30,    0.00,    0.00
25.11.2003 07:40:00,  983.08,    6.10,   93.40,    0.00,    0.00
25.11.2003 07:50:00,  983.25,    6.04,   93.20,    0.00,    0.00
25.11.2003 08:00:00,  983.39,    5.93,   93.20,    0.00,    0.00
25.11.2003 08:10:00,  983.43,    5.87,   93.90,    0.00,    0.00
25.11.2003 08:20:00,  983.45,    6.11,   93.70,    0.00,    0.00
25.11.2003 08:30:00,  983.56,    6.17,   93.10,    0.00,    0.00
25.11.2003 08:40:00,  983.59,    6.21,   93.10,    0.00,    0.00
25.11.2003 08:50:00,  983.68,    6.39,   92.60,    0.00,    0.00
25.11.2003 09:00:00,  983.77,    6.45,   91.80,    0.00,    0.00
25.11.2003 09:10:00,  983.89,    6.24,   91.90,    0.00,    0.00
25.11.2003 09:20:00,  984.00,    5.91,   93.20,    0.00,    0.00
25.11.2003 09:30:00,  984.05,    5.85,   93.60,    0.00,    0.00
25.11.2003 09:40:00,  984.06,    5.89,   93.70,    0.00,    0.00
25.11.2003 09:50:00,  984.06,    6.10,   93.30,    0.00,    0.00
25.11.2003 10:00:00,  984.06,    6.36,   93.30,    0.00,    0.00
25.11.2003 10:10:00,  984.07,    6.64,   91.30,    0.00,    0.00
