Date Time,p (mbar),T (degC),rh (%),wv (m/s),rain (mm)
01.01.2012 00:10:00,  985.43,    2.35,   96.00,    1.46,    0.00
01.01.2012 00:20:00,  985.44,    2.46,   96.10,    1.55,    0.00
01.01.2012 00:30:00,  985.40,    2.51,   95.90,    1.60,    0.00
01.01.2012 00:40:00,  985.40,    2.60,   95.90,    1.43,    0.00
01.01.2012 00:50:00,  985.52,    2.64,   95.90,    1.33,    0.00
01.01.2012 01:00:00,  985.56,    2.72,   95.80,    1.39,    0.00
01.01.2012 01:10:00,  985.56,    2.77,   95.80,    1.27,    0.00
01.01.2012 01:20:00,  985.58,    2.80,   95.80,    1.36,    0.00
01.01.2012 01:30:00,  985.63,    2.94,   95.80,    1.31,    0.00
01.01.2012 01:40:00,  985.53,    3.03,   95.40,    1.39,    0.00
01.01.2012 01:50:00,  985.55,    3.09,   95.20,    0.94,    0.00
01.01.2012 02:00:00,  985.54,    3.19,   95.10,    0.91,    0.00
01.01.2012 02:10:00,  985.49,    3.23,   94.80,    0.95,    0.00
01.01.2012 02:20:00,  985.40,    3.26,   94.80,    1.05,    0.00
01.01.2012 02:30:00,  985.50,    3.23,   94.80,    1.43,    0.00
01.01.2012 02:40:00,  985.57,    3.26,   95.10,    0.86,    0.00
01.01.2012 02:50:00,  985.65,    3.36,   95.20,    0.82,    0.00
01.01.2012 03:00:00,  985.56,    3.43,   94.80,    1.13,    0.00
01.01.2012 03:10:00,  985.53,    3.40,   94.80,    1.25,    0.00
01.01.2012 03:20:00,  985.54,    3.44,   95.20,    1.71,    0.00
01.01.2012 03:30:00,  985.57,    3.47,   95.50,    1.31,    0.00
01.01.2012 03:40:00,  985.54,    3.44,   96.00,    1.26,    0.00
01.01.2012 03:50:00,  985.53,    3.44,   96.60,    1.36,    0.00
01.01.2012 04:00:00,  985.50,    3.50,   97.10,    1.56,    0.00
01.01.2012 04:10:00,  985.49,    3.52,   97.40,    1.81,    0.00
01.01.2012 04:20:00,  985.56,    3.56,   97.70,    2.05,    0.00
01.01.2012 04:30:00,  985.55,    3.57,   97.90,    1.77,    0.00
01.01.2012 04:40:00,  985.47,    3.63,   98.00,    1.65,    0.00
01.01.2012 04:50:00,  985.53,    3.70,   98.20,    1.46,    0.10
01.01.2012 05:00:00,  985.56,    3.72,   98.20,    1.43,    0.00
01.01.2012 05:10:00,  985.56,    3.85,   98.50,    1.46,    0.00
01.01.2012 05:20:00,  985.56,    3.97,   98.40,    1.41,    0.00
01.01.2012 05:30:00,  985.54,    4.05,   98.60,    1.38,    0.00
01.01.2012 05:40:00,  985.50,    4.14,   98.60,    1.66,    0.00
01.01.2012 05:50:00,  985.53,    4.11,   98.50,    1.84,    0.00
01.01.2012 06:00:00,  985.57,    4.10,   98.60,    1.76,    0.00
01.01.2012 06:10:00,  985.56,    4.14,   98.60,    1.97,    0.00
01.01.2012 06:20:00,  985.61,    4.17,   98.60,    1.67,    0.00
01.01.2012 06:30:00,  985.69,    4.22,   98.70,    2.35,    0.00
01.01.2012 06:40:00,  985.74,    4.31,   98.70,    1.81,    0.00
01.01.2012 06:50:00,  985.68,    4.43,   98.60,    1.99,    0.00
01.01.2012 07:00:00,  985.57,    4.47,   98.50,    1.28,    0.00
01.01.2012 07:10:00,  985.62,    4.69,   98.60,    0.65,    0.00
01.01.2012 07:20:00,  985.56,    4.79,   98.10,    0.80,    0.00
01.01.2012 07:30:00,  985.45,    4.87,   97.70,    1.21,    0.00
01.01.2012 07:40:00,  985.50,    4.94,   97.40,    1.22,    0.00
01.01.2012 07:50:00,  985.53,    5.57,   97.60,    2.84,    0.00
01.01.2012 08:00:00,  985.61,    6.20,   95.40,    3.42,    0.00
01.01.2012 08:10:00,  985.69,    6.63,   91.10,    2.93,    0.00
01.01.2012 08:20:00,  985.70,    6.88,   88.90,    2.14,    0.00
01.01.2012 08:30:00,  985.78,    6.99,   88.80,    2.35,    0.00
01.01.2012 08:40:00,  985.84,    7.14,   87.20,    2.42,    0.00
01.01.2012 08:50:00,  985.84,    6.66,   88.80,    2.14,    0.00
01.01.2012 09:00:00,  985.80,    6.37,   90.80,    2.13,    0.00
01.01.2012 09:10:00,  985.88,    6.56,   90.80,    2.03,    0.00
01.01.2012 09:20:00,  985.90,    6.67,   89.80,    1.83,    0.00
01.01.2012 09:30:00,  985.90,    6.58,   89.90,    3.02,    0.00
01.01.2012 09:40:00,  985.96,    6.51,   90.70,    1.39,    0.10
01.01.2012 09:50:00,  986.02,    6.46,   91.50,    1.04,    0.00
01.01.2012 10:00:00,  985.98,    6.54,   92.10,    0.68,    0.00
01.01.2012 10:10:00,  985.91,    6.85,   91.70,    0.53,    0.10
01.01.2012 10:20:00,  986.09,    7.03,   91.30,    0.91,    0.00
01.01.2012 10:30:00,  986.23,    7.08,   91.30,    1.66,    0.00
01.01.2012 10:40:00,  985.99,    7.08,   91.50,    2.09,    0.00
01.01.2012 10:50:00,  985.90,    7.20,   91.90,    1.47,    0.00
01.01.2012 11:00:00,  985.87,    7.24,   92.10,    1.59,    0.00
01.01.2012 11:10:00,  985.87,    7.31,   92.50,    1.23,    0.00
01.01.2012 11:20:00,  985.67,    7.48,   92.30,    2.21,    0.00
01.01.2012 11:30:00,  985.63,    7.71,   92.10,    1.34,    0.00
01.01.2012 11:40:00,  985.57,    8.26,   91.10,    1.99,    0.00
01.01.2012 11:50:00,  985.43,    8.56,   89.40,    2.47,    0.00
01.01.2012 12:00:00,  985.27,    8.71,   89.00,    3.62,    0.00
01.01.2012 12:10:00,  985.26,    8.84,   88.90,    3.08,    0.00
01.01.2012 12:20:00,  985.27,    9.63,   86.00,    4.81,    0.10
01.01.2012 12:30:00,  985.30,   10.22,   83.10,    5.00,    0.00
01.01.2012 12:40:00,  985.34,   10.35,   82.70,    4.43,    0.00
01.01.2012 12:50:00,  985.45,   10.37,   83.00,    3.29,    0.00
01.01.2012 13:00:00,  985.40,   10.43,   83.20,    2.36,    0.00
01.01.2012 13:10:00,  985.45,   10.53,   82.90,    3.73,    0.00
01.01.2012 13:20:00,  985.47,   10.57,   82.50,    4.48,    0.00
01.01.2012 13:30:00,  985.53,   10.60,   82.20,    4.64,    0.00
01.01.2012 13:40:00,  985.55,   10.55,   83.10,    3.42,    0.00
01.01.2012 13:50:00,  985.56,   10.50,   84.00,    3.20,    0.00
01.01.2012 14:00:00,  985.49,   10.54,   84.00,    3.08,    0.00
01.01.2012 14:10:00,  985.40,   10.59,   83.70,    4.12,    0.00
01.01.2012 14:20:00,  985.17,   10.58,   84.20,    5.39,    0.00
01.01.2012 14:30:00,  985.18,   10.68,   83.70,    5.25,    0.00
01.01.2012 14:40:00,  985.31,   10.83,   82.80,    4.81,    0.00
01.01.2012 14:50:00,  985.27,   10.83,   83.20,    4.08,    0.00
01.01.2012 15:00:00,  985.30,   10.84,   83.20,    3.23,    0.00
01.01.2012 15:10:00,  985.24,   11.00,   82.10,    5.23,    0.00
01.01.2012 15:20:00,  985.24,   11.05,   81.80,    4.73,    0.00
01.01.2012 15:30:00,  985.22,   11.06,   81.60,    4.83,    0.00
01.01.2012 15:40:00,  985.23,   10.98,   81.90,    4.80,    0.00
01.01.2012 15:50:00,  985.24,   10.97,   82.10,    4.19,    0.00
01.01.2012 16:00:00,  985.09,   10.96,   82.20,    4.96,    0.00
01.01.2012 16:10:00,  984.95,   10.91,   82.30,    5.31,    0.00
01.01.2012 16:20:00,  984.93,   10.78,   82.90,    5.03,    0.00
01.01.2012 16:30:00,  985.18,   10.66,   83.30,    4.56,    0.00
01.01.2012 16:40:00,  985.27,   10.58,   83.50,    5.29,    0.00
01.01.2012 16:50:00,  985.36,   10.51,   83.70,    4.75,    0.00
01.01.2012 17:00:00,  985.53,   10.42,   84.10,    4.17,    0.00
01.01.2012 17:10:00,  985.44,   10.49,   84.00,    5.23,    0.00
01.01.2012 17:20:00,  985.34,   10.60,   83.60,    5.66,    0.00
01.01.2012 17:30:00,  985.47,   10.54,   83.60,    4.58,    0.00
01.01.2012 17:40:00,  985.51,   10.32,   84.50,    4.16,    0.00
01.01.2012 17:50:00,  985.47,   10.30,   84.70,    4.37,    0.00
01.01.2012 18:00:00,  985.51,   10.43,   84.10,    4.85,    0.00
01.01.2012 18:10:00,  985.46,   10.50,   83.80,    4.89,    0.00
01.01.2012 18:20:00,  985.53,   10.57,   83.50,    5.24,    0.00
01.01.2012 18:30:00,  985.47,   10.57,   83.20,    5.52,    0.00
01.01.2012 18:40:00,  985.47,   10.67,   82.50,    5.63,    0.00
01.01.2012 18:50:00,  985.47,   10.69,   82.40,    4.34,    0.00
01.01.2012 19:00:00,  985.56,   10.70,   82.60,    4.40,    0.00
01.01.2012 19:10:00,  985.56,   10.73,   82.50,    4.53,    0.00
01.01.2012 19:20:00,  985.42,   10.83,   82.00,    5.35,    0.00
01.01.2012 19:30:00,  985.04,   10.85,   81.90,    5.15,    0.00
01.01.2012 19:40:00,  984.79,   10.96,   81.30,    6.57,    0.00
01.01.2012 19:50:00,  984.76,   10.93,   81.20,    5.63,    0.00
01.01.2012 20:00:00,  984.71,   10.90,   81.30,    5.83,    0.00
01.01.2012 20:10:00,  984.70,   10.92,   81.20,    5.04,    0.00
01.01.2012 20:20:00,  984.82,   10.95,   81.20,    5.22,    0.00
01.01.2012 20:30:00,  984.72,   11.00,   81.20,    4.60,    0.00
01.01.2012 20:40:00,  984.54,   11.10,   81.00,    6.74,    0.00
01.01.2012 20:50:00,  984.54,   11.16,   80.60,    5.87,    0.00
01.01.2012 21:00:00,  984.46,   11.10,   80.70,    5.63,    0.00
01.01.2012 21:10:00,  984.41,   11.12,   80.60,    5.83,    0.00
01.01.2012 21:20:00,  984.51,   11.26,   79.80,    5.86,    0.00
01.01.2012 21:30:00,  984.48,   11.42,   79.60,    7.51,    0.00
01.01.2012 21:40:00,  984.28,   11.41,   80.20,    6.00,    0.00
01.01.2012 21:50:00,  984.18,   11.41,   80.70,    5.82,    0.00
01.01.2012 22:00:00,  984.06,   11.41,   80.90,    6.84,    0.00
01.01.2012 22:10:00,  983.83,   11.43,   80.80,    6.76,    0.00
01.01.2012 22:20:00,  983.67,   11.38,   81.00,    5.92,    0.00
01.01.2012 22:30:00,  983.50,   11.39,   80.70,    4.97,    0.00
01.01.2012 22:40:00,  983.37,   11.44,   80.30,    5.09,    0.00
01.01.2012 22:50:00,  983.22,   11.48,   80.00,    6.06,    0.00
01.01.2012 23:00:00,  983.00,   11.47,   79.80,    5.13,    0.00
01.01.2012 23:10:00,  982.88,   11.40,   80.00,    4.54,    0.00
01.01.2012 23:20:00,  982.87,   11.43,   80.00,    5.15,    0.00
01.01.2012 23:30:00,  982.68,   11.56,   79.50,    5.56,    0.00
01.01.2012 23:40:00,  982.33,   11.69,   79.00,    5.88,    0.00
01.01.2012 23:50:00,  981.95,   11.80,   78.50,    8.61,    0.00
02.01.2012 00:00:00,  981.76,   11.79,   78.40,    7.94,    0.00
02.01.2012 00:10:00,  981.57,   11.88,   77.60,    9.73,    0.00
02.01.2012 00:20:00,  981.50,   11.98,   76.70,    9.69,    0.00
02.01.2012 00:30:00,  981.68,   12.03,   76.30,    9.55,    0.00
02.01.2012 00:40:00,  981.90,   12.00,   76.40,    8.24,    0.00
02.01.2012 00:50:00,  981.84,   12.03,   76.40,    9.49,    0.00
02.01.2012 01:00:00,  981.81,   11.98,   76.80,    8.64,    0.00
02.01.2012 01:10:00,  981.61,   11.93,   76.80,    9.11,    0.00
02.01.2012 01:20:00,  981.54,   11.91,   76.80,    7.61,    0.00
02.01.2012 01:30:00,  981.39,   11.89,   76.50,    7.76,    0.00
02.01.2012 01:40:00,  981.17,   11.96,   75.80,    8.26,    0.00
02.01.2012 01:50:00,  981.16,   11.88,   75.90,    8.77,    0.00
02.01.2012 02:00:00,  981.01,   11.90,   75.50,    8.48,    0.00
02.01.2012 02:10:00,  980.82,   11.90,   75.70,    8.89,    0.00
02.01.2012 02:20:00,  980.83,   11.86,   76.00,    9.64,    0.00
02.01.2012 02:30:00,  980.86,   11.84,   76.30,    9.43,    0.00
02.01.2012 02:40:00,  980.72,   11.83,   76.30,    8.43,    0.00
02.01.2012 02:50:00,  980.60,   11.86,   76.00,    8.51,    0.00
02.01.2012 03:00:00,  980.45,   11.89,   75.80,    8.25,    0.00
02.01.2012 03:10:00,  980.28,   11.88,   75.80,    8.94,    0.00
