Date Time,p (mbar),T (degC),rh (%),wv (m/s),rain (mm)
01.01.2008 00:00:00, 1000.05,    0.30,   92.60,    1.98,    0.00
01.01.2008 00:10:00, 1000.00,    0.29,   92.50,    1.93,    0.00
01.01.2008 00:20:00,  999.94,    0.24,   92.20,    2.34,    0.00
01.01.2008 00:30:00,  999.77,    0.21,   92.10,    2.98,    0.00
01.01.2008 00:40:00,  999.71,    0.17,   91.90,    3.37,    0.00
01.01.2008 00:50:00,  999.64,    0.11,   91.70,    3.48,    0.00
01.01.2008 01:00:00,  999.63,    0.10,   91.20,    3.68,    0.00
01.01.2008 01:10:00,  999.60,    0.10,   90.70,    3.32,    0.00
01.01.2008 01:20:00,  999.53,    0.07,   90.50,    3.62,    0.00
01.01.2008 01:30:00,  999.50,    0.04,   90.30,    3.61,    0.00
01.01.2008 01:40:00,  999.45,    0.03,   90.10,    3.90,    0.00
01.01.2008 01:50:00,  999.52,    0.00,   90.30,    1.62,    0.00
01.01.2008 02:00:00,  999.54,    0.04,   90.30,    0.90,    0.00
01.01.2008 02:10:00,  999.49,    0.09,   89.50,    1.89,    0.00
01.01.2008 02:20:00,  999.48,    0.10,   88.70,    2.40,    0.00
01.01.2008 02:30:00,  999.54,    0.11,   88.10,    1.07,    0.00
01.01.2008 02:40:00,  999.45,    0.07,   88.30,    1.99,    0.00
01.01.2008 02:50:00,  999.51,    0.07,   88.20,    1.36,    0.00
01.01.2008 03:00:00,  999.42,    0.15,   88.10,    0.89,    0.00
01.01.2008 03:10:00,  999.31,    0.10,   88.10,    1.79,    0.00
01.01.2008 03:20:00,  999.25,    0.11,   87.60,    1.93,    0.00
01.01.2008 03:30:00,  999.14,    0.14,   87.30,    2.93,    0.00
01.01.2008 03:40:00,  999.07,    0.10,   87.40,    2.69,    0.00
01.01.2008 03:50:00,  999.01,    0.15,   87.20,    2.58,    0.00
01.01.2008 04:00:00,  999.00,    0.17,   86.90,    1.66,    0.00
01.01.2008 04:10:00,  998.95,    0.15,   87.00,    1.48,    0.00
01.01.2008 04:20:00,  998.91,    0.10,   87.40,    1.49,    0.00
01.01.2008 04:30:00,  998.87,    0.06,   87.50,    2.30,    0.00
01.01.2008 04:40:00,  998.78,    0.03,   87.80,    2.25,    0.00
01.01.2008 04:50:00,  998.79,    0.03,   87.90,    1.58,    0.00
01.01.2008 05:00:00,  998.78,   -0.03,   88.20,    1.65,    0.00
01.01.2008 05:10:00,  998.75,   -0.03,   88.40,    2.28,    0.00
01.01.2008 05:20:00,  998.75,   -0.02,   88.10,    2.04,    0.00
01.01.2008 05:30:00,  998.73,   -0.06,   88.50,    1.82,    0.00
01.01.2008 05:40:00,  998.77,   -0.10,   88.80,    1.81,    0.00
01.01.2008 05:50:00,  998.77,   -0.11,   89.00,    2.25,    0.00
01.01.2008 06:00:00,  998.76,   -0.10,   88.80,    2.13,    0.00
01.01.2008 06:10:00,  998.66,   -0.10,   88.70,    2.57,    0.00
01.01.2008 06:20:00,  998.57,   -0.11,   88.40,    2.87,    0.00
01.01.2008 06:30:00,  998.52,   -0.15,   87.90,    3.08,    0.00
01.01.2008 06:40:00,  998.52,   -0.18,   87.10,    2.65,    0.00
01.01.2008 06:50:00,  998.53,   -0.22,   86.30,    2.26,    0.00
01.01.2008 07:00:00,  998.53,   -0.31,   86.60,    2.07,    0.00
01.01.2008 07:10:00,  998.63,   -0.35,   86.70,    2.42,    0.00
01.01.2008 07:20:00,  998.68,   -0.29,   85.70,    1.54,    0.00
01.01.2008 07:30:00,  998.69,   -0.23,   85.30,    1.43,    0.00
01.01.2008 07:40:00,  998.70,   -0.40,   87.20,    0.40,    0.00
01.01.2008 07:50:00,  998.64,   -0.52,   89.20,    0.54,    0.00
01.01.2008 08:00:00,  998.60,   -0.57,   90.40,    0.54,    0.00
01.01.2008 08:10:00,  998.58,   -0.21,   90.10,    0.63,    0.00
01.01.2008 08:20:00,  998.57,   -0.30,   88.70,    0.84,    0.00
01.01.2008 08:30:00,  998.56,   -0.70,   90.00,    1.20,    0.00
01.01.2008 08:40:00,  998.54,   -0.78,   90.90,    1.10,    0.00
01.01.2008 08:50:00,  998.57,   -0.60,   90.60,    0.79,    0.00
01.01.2008 09:00:00,  998.66,   -0.45,   90.40,    0.69,    0.00
01.01.2008 09:10:00,  998.63,   -0.35,   90.40,    0.45,    0.00
01.01.2008 09:20:00,  998.56,   -0.24,   90.00,    0.65,    0.00
01.01.2008 09:30:00,  998.63,   -0.35,   90.40,    0.20,    0.00
01.01.2008 09:40:00,  998.53,   -0.22,   90.10,    0.49,    0.00
01.01.2008 09:50:00,  998.46,   -0.34,   90.00,    0.67,    0.00
01.01.2008 10:00:00,  998.50,   -0.42,   91.30,    0.50,    0.00
01.01.2008 10:10:00,  998.52,   -0.40,   91.60,    0.31,    0.00
01.01.2008 10:20:00,  998.53,   -0.22,   91.40,    0.49,    0.00
01.01.2008 10:30:00,  998.53,   -0.07,   91.20,    0.35,    0.00
01.01.2008 10:40:00,  998.49,    0.12,   90.90,    0.36,    0.00
01.01.2008 10:50:00,  998.49,    0.14,   90.90,    0.39,    0.00
01.01.2008 11:00:00,  998.51,    0.32,   89.80,    0.29,    0.00
01.01.2008 11:10:00,  998.41,    0.28,   89.50,    0.35,    0.00
01.01.2008 11:20:00,  998.38,    0.24,   89.70,    0.49,    0.00
01.01.2008 11:30:00,  998.29,    0.11,   89.90,    0.49,    0.00
01.01.2008 11:40:00,  998.26,    0.10,   90.40,    0.37,    0.00
01.01.2008 11:50:00,  998.24,    0.21,   90.40,    0.39,    0.00
01.01.2008 12:00:00,  998.20,    0.30,   89.30,    0.70,    0.00
01.01.2008 12:10:00,  998.17,    0.30,   89.00,    0.57,    0.00
01.01.2008 12:20:00,  998.08,    0.41,   88.60,    0.80,    0.00
01.01.2008 12:30:00,  997.96,    0.32,   88.90,    0.76,    0.00
01.01.2008 12:40:00,  997.90,    0.30,   89.50,    0.65,    0.00
01.01.2008 12:50:00,  997.86,    0.35,   89.40,    0.82,    0.00
01.01.2008 13:00:00,  997.84,    0.15,   89.20,    1.22,    0.00
01.01.2008 13:10:00,  997.82,    0.11,   89.00,    0.64,    0.00
01.01.2008 13:20:00,  997.72,    0.21,   88.80,    0.48,    0.00
01.01.2008 13:30:00,  997.72,    0.11,   88.90,    0.59,    0.00
01.01.2008 13:40:00,  997.71,    0.05,   89.30,    0.66,    0.00
01.01.2008 13:50:00,  997.69,    0.20,   89.40,    0.43,    0.00
01.01.2008 14:00:00,  997.61,    0.31,   88.30,    0.31,    0.00
01.01.2008 14:10:00,  997.64,    0.32,   87.20,    0.81,    0.00
01.01.2008 14:20:00,  997.60,    0.10,   86.90,    0.86,    0.00
01.01.2008 14:30:00,  997.65,   -0.04,   87.10,    1.24,    0.00
01.01.2008 14:40:00,  997.70,   -0.07,   87.20,    1.21,    0.00
01.01.2008 14:50:00,  997.66,   -0.15,   87.30,    1.49,    0.00
01.01.2008 15:00:00,  997.71,   -0.19,   87.60,    1.10,    0.00
01.01.2008 15:10:00,  997.69,   -0.28,   87.30,    1.90,    0.00
01.01.2008 15:20:00,  997.74,   -0.49,   87.30,    2.83,    0.00
01.01.2008 15:30:00,  997.80,   -0.55,   87.30,    2.13,    0.00
01.01.2008 15:40:00,  997.89,   -0.57,   87.50,    2.31,    0.00
01.01.2008 15:50:00,  997.90,   -0.62,   87.10,    2.31,    0.00
01.01.2008 16:00:00,  997.91,   -0.67,   86.80,    2.06,    0.00
01.01.2008 16:10:00,  997.94,   -0.72,   86.90,    2.03,    0.00
01.01.2008 16:20:00,  997.95,   -0.77,   86.20,    2.12,    0.00
01.01.2008 16:30:00,  997.99,   -0.81,   85.20,    1.81,    0.00
01.01.2008 16:40:00,  998.09,   -0.83,   84.20,    1.24,    0.00
01.01.2008 16:50:00,  998.09,   -0.67,   84.80,    0.43,    0.00
01.01.2008 17:00:00,  998.10,   -0.59,   82.90,    0.81,    0.00
01.01.2008 17:10:00,  998.16,   -0.75,   84.70,    0.37,    0.00
01.01.2008 17:20:00,  998.22,   -0.80,   84.90,    0.30,    0.00
01.01.2008 17:30:00,  998.22,   -0.90,   84.80,    0.46,    0.00
01.01.2008 17:40:00,  998.22,   -0.97,   85.10,    0.39,    0.00
01.01.2008 17:50:00,  998.23,   -0.91,   85.70,    0.54,    0.00
01.01.2008 18:00:00,  998.25,   -0.95,   86.00,    0.91,    0.00
01.01.2008 18:10:00,  998.15,   -0.98,   85.90,    0.40,    0.00
01.01.2008 18:20:00,  998.15,   -0.92,   85.40,    0.29,    0.00
01.01.2008 18:30:00,  998.21,   -0.85,   84.80,    0.95,    0.00
01.01.2008 18:40:00,  998.20,   -0.97,   84.20,    0.38,    0.00
01.01.2008 18:50:00,  998.20,   -0.98,   84.30,    0.70,    0.00
01.01.2008 19:00:00,  998.24,   -1.04,   84.60,    0.89,    0.00
01.01.2008 19:10:00,  998.29,   -1.08,   84.70,    1.39,    0.00
01.01.2008 19:20:00,  998.29,   -1.08,   85.80,    0.91,    0.00
01.01.2008 19:30:00,  998.30,   -1.13,   87.40,    1.01,    0.00
01.01.2008 19:40:00,  998.32,   -1.19,   87.90,    0.98,    0.00
01.01.2008 19:50:00,  998.38,   -1.23,   87.60,    0.79,    0.00
01.01.2008 20:00:00,  998.45,   -1.18,   87.70,    0.72,    0.00
01.01.2008 20:10:00,  998.54,   -1.17,   88.10,    0.67,    0.00
01.01.2008 20:20:00,  998.51,   -1.14,   87.90,    0.49,    0.00
01.01.2008 20:30:00,  998.57,   -1.20,   88.30,    0.85,    0.00
01.01.2008 20:40:00,  998.58,   -1.25,   88.40,    0.23,    0.00
01.01.2008 20:50:00,  998.59,   -1.25,   89.00,    0.28,    0.00
01.01.2008 21:00:00,  998.59,   -1.25,   88.30,    0.44,    0.00
01.01.2008 21:10:00,  998.59,   -1.24,   88.30,    0.60,    0.00
01.01.2008 21:20:00,  998.49,   -1.29,   88.50,    0.57,    0.00
01.01.2008 21:30:00,  998.39,   -1.32,   88.10,    0.68,    0.00
01.01.2008 21:40:00,  998.36,   -1.35,   88.10,    0.79,    0.00
01.01.2008 21:50:00,  998.33,   -1.37,   87.80,    0.73,    0.00
01.01.2008 22:00:00,  998.28,   -1.37,   87.60,    0.93,    0.00
01.01.2008 22:10:00,  998.18,   -1.37,   87.70,    0.83,    0.00
01.01.2008 22:20:00,  998.19,   -1.43,   87.40,    0.81,    0.00
01.01.2008 22:30:00,  998.20,   -1.38,   86.80,    1.08,    0.00
01.01.2008 22:40:00,  998.18,   -1.44,   86.80,    0.60,    0.00
01.01.2008 22:50:00,  998.17,   -1.43,   86.80,    0.41,    0.00
01.01.2008 23:00:00,  998.20,   -1.39,   87.00,    0.58,    0.00
01.01.2008 23:10:00,  998.29,   -1.60,   88.60,    0.83,    0.00
01.01.2008 23:20:00,  998.31,   -1.86,   89.80,    0.76,    0.00
01.01.2008 23:30:00,  998.33,   -1.94,   90.60,    0.64,    0.00
01.01.2008 23:40:00,  998.35,   -2.01,   91.00,    0.17,    0.00
01.01.2008 23:50:00,  998.40,   -1.94,   91.60,    0.41,    0.00
02.01.2008 00:00:00,  998.39,   -2.03,   91.50,    0.28,    0.00
02.01.2008 00:10:00,  998.35,   -2.18,   91.60,    0.45,    0.00
02.01.2008 00:20:00,  998.34,   -2.27,   92.20,    0.89,    0.00
02.01.2008 00:30:00,  998.34,   -2.36,   92.80,    0.63,    0.00
02.01.2008 00:40:00,  998.34,   -2.28,   93.40,    0.20,    0.00
02.01.2008 00:50:00,  998.34,   -2.25,   92.90,    0.15,    0.00
02.01.2008 01:00:00,  998.34,   -2.44,   92.80,    0.34,    0.00
02.01.2008 01:10:00,  998.33,   -2.46,   93.50,    0.06,    0.00
02.01.2008 01:20:00,  998.29,   -2.48,   93.70,    0.21,    0.00
02.01.2008 01:30:00,  998.22,   -2.56,   93.80,    0.19,    0.00
02.01.2008 01:40:00,  998.22,   -2.64,   94.10,    0.71,    0.00
02.01.2008 01:50:00,  998.22,   -2.67,   94.40,    0.86,    0.00
02.01.2008 02:00:00,  998.31,   -2.69,   94.70,    1.24,    0.00
02.01.2008 02:10:00,  998.32,   -2.70,   94.90,    1.14,    0.00
02.01.2008 02:20:00,  998.34,   -2.75,   94.80,    0.72,    0.00
02.01.2008 02:30:00,  998.28,   -2.85,   94.90,    1.18,    0.00
02.01.2008 02:40:00,  998.32,   -2.88,   95.10,    0.97,    0.00
02.01.2008 02:50:00,  998.34,   -2.92,   95.00,    0.53,    0.00
02.01.2008 03:00:00,  998.26,   -3.02,   95.00,    0.90,    0.00
02.01.2008 03:10:00,  998.27,   -3.06,   95.20,    0.60,    0.00
02.01.2008 03:20:00,  998.23,   -3.20,   95.20,    0.48,    0.00
02.01.2008 03:30:00,  998.18,   -3.37,   95.20,    0.63,    0.00
02.01.2008 03:40:00,  998.16,   -3.44,   95.50,    0.92,    0.00
02.01.2008 03:50:00,  998.10,   -3.50,   95.60,    0.88,    0.00
02.01.2008 04:00:00,  998.10,   -3.49,   95.80,    0.48,    0.00
